Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Purchase Frequency
59,46-55,Female,Bike,Sports & Outdoors,120.18,Georgia,N/A,N/A,Winter,4,Yes,Cash,Free Shipping,Yes,No,6,Bi-Weekly
60,65+,Female,Headphones,Electronics,417.88,North Carolina,N/A,N/A,Fall,5,No,Credit Card,Express,No,No,7,Monthly
61,26-35,Female,Handbag,Accessories,103.08,California,N/A,Black,Summer,5,No,PayPal,Standard,No,No,6,Quarterly
62,46-55,Female,Wallet,Accessories,81.24,Virginia,N/A,Red,Winter,5,No,PayPal,Express,No,No,5,Bi-Weekly
63,65+,Female,Blouse,Clothing,64.57,Texas,L,White,Summer,4,No,Bank Transfer,Free Shipping,Yes,No,4,Weekly
64,56-65,Female,Watch,Accessories,123.17,Georgia,N/A,White,Winter,5,No,Bank Transfer,Next Day Delivery,No,No,6,Quarterly
65,56-65,Male,Video Game,Toys & Games,37.71,North Carolina,N/A,N/A,Winter,5,No,Cash,Free Shipping,Yes,No,9,Quarterly
66,36-45,Female,Wallet,Accessories,195.74,Illinois,N/A,Brown,Winter,4,No,Cash,Next Day Delivery,No,Yes,9,Quarterly
67,18-25,Female,Kitchenware,Home & Garden,218.18,Illinois,N/A,N/A,Fall,4,No,Debit Card,Standard,No,No,5,Bi-Weekly
68,26-35,Female,Jewelry,Accessories,10.0,Virginia,N/A,White,Summer,5,No,Credit Card,Free Shipping,No,No,3,Quarterly
69,36-45,Male,Video Game,Toys & Games,23.01,Ohio,N/A,N/A,Spring,4,No,Cash,Free Shipping,No,No,5,Quarterly
70,56-65,Male,Blouse,Clothing,70.06,Michigan,L,Red,Spring,4,No,Debit Card,Next Day Delivery,No,Yes,7,Quarterly
71,46-55,Female,Action Figure,Toys & Games,32.75,Georgia,N/A,N/A,Summer,5,Yes,Debit Card,Free Shipping,No,No,2,Quarterly
72,18-25,Female,Hair Care,Beauty & Personal Care,55.56,New Jersey,N/A,N/A,Winter,5,Yes,Cash,Free Shipping,Yes,No,3,Bi-Weekly
73,56-65,Male,Board Game,Toys & Games,16.67,Ohio,N/A,N/A,Spring,3,Yes,Credit Card,Free Shipping,Yes,No,8,Bi-Weekly
74,46-55,Male,Sneakers,Footwear,155.65,Illinois,L,Blue,Summer,4,Yes,PayPal,Next Day Delivery,Yes,No,7,Monthly
75,46-55,Female,Bedding,Home & Garden,249.74,Illinois,N/A,N/A,Spring,4,No,PayPal,Standard,No,No,8,Annually
76,18-25,Female,Camping Gear,Sports & Outdoors,10.0,New Jersey,N/A,N/A,Spring,5,No,Credit Card,Standard,No,Yes,6,Bi-Weekly
77,26-35,Male,Sweater,Clothing,26.11,Florida,S,White,Winter,4,No,Credit Card,Express,No,No,2,Quarterly
78,65+,Female,Decor,Home & Garden,194.15,Florida,N/A,N/A,Spring,4,No,Cash,Next Day Delivery,No,No,7,Weekly
79,56-65,Female,Dress,Clothing,80.6,Michigan,L,Red,Summer,3,Yes,Credit Card,Express,No,No,9,Weekly
80,65+,Male,Garden Tools,Home & Garden,89.57,Texas,N/A,N/A,Spring,5,No,Debit Card,Free Shipping,Yes,No,5,Monthly
81,18-25,Female,Puzzle,Toys & Games,25.6,California,N/A,N/A,Winter,5,Yes,PayPal,Standard,No,No,5,Quarterly
82,36-45,Male,Magazine,Books & Media,43.12,Ohio,N/A,N/A,Summer,5,No,Bank Transfer,Next Day Delivery,No,Yes,10,Annually
83,56-65,Female,Music Album,Books & Media,33.18,Ohio,N/A,N/A,Fall,5,Yes,Debit Card,Express,No,No,9,Weekly
84,36-45,Male,Magazine,Books & Media,26.34,Georgia,N/A,N/A,Winter,5,Yes,Debit Card,Standard,Yes,No,4,Quarterly
85,36-45,Female,Heels,Footwear,171.59,New York,M,Brown,Fall,5,No,Debit Card,Next Day Delivery,No,No,3,Annually
86,65+,Female,Garden Tools,Home & Garden,31.16,California,N/A,N/A,Summer,5,No,Credit Card,Express,No,No,10,Quarterly
87,46-55,Male,Action Figure,Toys & Games,30.49,Virginia,N/A,N/A,Winter,5,Yes,PayPal,Free Shipping,No,No,2,Weekly
88,18-25,Male,Kitchenware,Home & Garden,85.62,Ohio,N/A,N/A,Summer,4,No,Debit Card,Next Day Delivery,No,No,8,Quarterly
89,56-65,Other,Puzzle,Toys & Games,52.51,Ohio,N/A,N/A,Fall,5,No,Debit Card,Free Shipping,Yes,Yes,5,Monthly
90,36-45,Female,Kitchenware,Home & Garden,279.69,Texas,N/A,N/A,Summer,4,No,Debit Card,Standard,No,Yes,6,Annually
91,65+,Female,Boots,Footwear,197.38,New York,L,Blue,Fall,5,Yes,Credit Card,Express,No,No,8,Monthly
92,26-35,Male,Camping Gear,Sports & Outdoors,217.75,Illinois,N/A,N/A,Spring,5,Yes,Bank Transfer,Express,No,No,4,Monthly
93,18-25,Female,Sweater,Clothing,150.81,Illinois,S,Gray,Winter,4,No,Credit Card,Standard,No,No,13,Annually
94,36-45,Female,Music Album,Books & Media,19.69,Georgia,N/A,N/A,Fall,5,No,Cash,Standard,Yes,No,4,Monthly
95,46-55,Female,Smartphone,Electronics,354.86,Ohio,N/A,N/A,Winter,5,Yes,Credit Card,Standard,No,No,6,Bi-Weekly
96,26-35,Female,Furniture,Home & Garden,150.27,New York,N/A,N/A,Spring,4,No,Bank Transfer,Free Shipping,No,No,5,Annually
97,56-65,Female,Belt,Accessories,95.32,Ohio,N/A,Red,Winter,3,No,Debit Card,Free Shipping,No,Yes,7,Monthly
98,56-65,Male,Sweater,Clothing,54.0,Virginia,XS,Brown,Summer,5,No,Cash,Next Day Delivery,No,No,6,Weekly
99,26-35,Female,Handbag,Accessories,134.87,North Carolina,N/A,Black,Summer,5,Yes,Credit Card,Free Shipping,No,Yes,8,Quarterly
100,65+,Male,DVD,Books & Media,38.11,California,N/A,N/A,Summer,4,Yes,Debit Card,Next Day Delivery,Yes,No,11,Quarterly
101,18-25,Male,Sunglasses,Accessories,97.86,New Jersey,N/A,Green,Summer,3,No,PayPal,Standard,No,Yes,5,Annually
102,26-35,Female,Sandals,Footwear,155.45,Florida,XS,Black,Summer,3,Yes,Debit Card,Next Day Delivery,No,No,2,Quarterly
103,18-25,Male,DVD,Books & Media,49.72,Virginia,N/A,N/A,Winter,4,Yes,Debit Card,Free Shipping,No,No,4,Quarterly
104,18-25,Other,Jacket,Clothing,60.12,Virginia,M,Green,Fall,4,Yes,Credit Card,Standard,No,No,3,Bi-Weekly
105,65+,Female,Blouse,Clothing,67.58,New Jersey,M,Green,Spring,4,Yes,Cash,Free Shipping,Yes,No,6,Annually
106,65+,Female,DVD,Books & Media,18.18,Florida,N/A,N/A,Winter,5,No,PayPal,Standard,Yes,No,7,Quarterly
107,36-45,Male,Hair Care,Beauty & Personal Care,47.29,Pennsylvania,N/A,N/A,Spring,4,No,Cash,Next Day Delivery,No,No,4,Quarterly
108,65+,Male,DVD,Books & Media,34.5,New Jersey,N/A,N/A,Winter,4,No,Bank Transfer,Standard,Yes,No,7,Quarterly
109,18-25,Other,Sports Apparel,Sports & Outdoors,112.28,Pennsylvania,N/A,N/A,Spring,5,Yes,PayPal,Standard,No,Yes,3,Annually
110,46-55,Female,Skincare,Beauty & Personal Care,47.4,New York,N/A,N/A,Fall,5,No,Bank Transfer,Free Shipping,No,No,6,Quarterly
111,18-25,Female,Sunglasses,Accessories,24.68,North Carolina,N/A,White,Fall,4,No,PayPal,Free Shipping,No,No,7,Weekly
112,18-25,Other,Wallet,Accessories,67.09,Florida,N/A,Blue,Spring,4,Yes,Bank Transfer,Free Shipping,No,No,7,Weekly
113,26-35,Other,Tablet,Electronics,561.46,Texas,N/A,N/A,Summer,5,No,PayPal,Next Day Delivery,No,Yes,5,Annually
114,65+,Male,Bedding,Home & Garden,50.34,Georgia,N/A,N/A,Winter,5,No,Cash,Free Shipping,No,No,5,Annually
115,26-35,Female,Makeup,Beauty & Personal Care,69.29,Michigan,N/A,N/A,Summer,3,No,Credit Card,Next Day Delivery,No,No,3,Quarterly
116,36-45,Female,Puzzle,Toys & Games,33.66,California,N/A,N/A,Fall,4,No,Debit Card,Free Shipping,Yes,Yes,5,Bi-Weekly
117,46-55,Other,Video Game,Toys & Games,37.09,Pennsylvania,N/A,N/A,Fall,4,No,Bank Transfer,Free Shipping,No,No,4,Quarterly
118,36-45,Female,Wallet,Accessories,108.1,New York,N/A,Green,Winter,5,Yes,Cash,Free Shipping,No,No,5,Weekly
119,36-45,Female,Music Album,Books & Media,26.5,Ohio,N/A,N/A,Summer,5,No,PayPal,Standard,No,No,6,Bi-Weekly
120,56-65,Male,Fitness Equipment,Sports & Outdoors,131.9,Georgia,N/A,N/A,Spring,5,No,Bank Transfer,Free Shipping,Yes,No,8,Weekly
121,65+,Male,Heels,Footwear,179.47,New Jersey,S,Black,Winter,4,No,Debit Card,Next Day Delivery,No,No,5,Annually
122,65+,Male,Skincare,Beauty & Personal Care,20.45,Pennsylvania,N/A,N/A,Winter,5,No,Debit Card,Free Shipping,No,No,5,Annually
123,18-25,Female,Laptop,Electronics,262.37,New Jersey,N/A,N/A,Fall,4,No,Cash,Standard,No,No,3,Quarterly
124,18-25,Male,Tablet,Electronics,850.49,Florida,N/A,N/A,Fall,3,No,Credit Card,Standard,No,No,6,Monthly
125,18-25,Female,Decor,Home & Garden,129.79,Pennsylvania,N/A,N/A,Winter,4,No,Cash,Express,Yes,No,4,Annually
126,46-55,Male,Boots,Footwear,139.6,Florida,XS,Green,Winter,4,No,Bank Transfer,Express,No,No,5,Quarterly
127,56-65,Female,Boots,Footwear,125.27,Georgia,M,Red,Fall,5,No,Credit Card,Free Shipping,Yes,No,6,Monthly
128,65+,Female,Action Figure,Toys & Games,14.99,Texas,N/A,N/A,Winter,4,No,Debit Card,Next Day Delivery,No,No,7,Quarterly
129,65+,Female,Bedding,Home & Garden,214.23,Illinois,N/A,N/A,Summer,3,No,PayPal,Free Shipping,No,Yes,7,Weekly
130,26-35,Male,Hair Care,Beauty & Personal Care,33.79,Michigan,N/A,N/A,Fall,5,No,Debit Card,Standard,No,No,6,Quarterly
131,36-45,Male,Sweater,Clothing,125.33,New Jersey,XS,Green,Winter,3,No,Debit Card,Express,No,Yes,5,Annually
132,36-45,Female,Wallet,Accessories,67.86,New York,N/A,Green,Fall,5,Yes,Cash,Standard,No,No,4,Weekly
133,36-45,Male,Novel,Books & Media,35.31,Michigan,N/A,N/A,Fall,5,No,Cash,Standard,No,No,8,Monthly
134,36-45,Female,Makeup,Beauty & Personal Care,47.17,New York,N/A,N/A,Summer,5,Yes,Bank Transfer,Next Day Delivery,No,No,5,Annually
135,56-65,Female,Kitchenware,Home & Garden,62.61,Illinois,N/A,N/A,Winter,5,No,Debit Card,Next Day Delivery,No,No,6,Weekly
136,46-55,Female,Laptop,Electronics,336.72,New York,N/A,N/A,Winter,4,No,Bank Transfer,Next Day Delivery,Yes,No,5,Weekly
137,46-55,Male,Dress,Clothing,139.67,North Carolina,XS,Red,Fall,5,No,Debit Card,Free Shipping,No,No,7,Monthly
138,18-25,Female,Jewelry,Accessories,44.74,California,N/A,Green,Fall,5,No,Bank Transfer,Express,No,No,3,Weekly
139,65+,Male,DVD,Books & Media,25.51,New Jersey,N/A,N/A,Winter,4,No,Credit Card,Express,Yes,No,8,Weekly
140,18-25,Male,Bedding,Home & Garden,163.64,Texas,N/A,N/A,Spring,5,Yes,Cash,Express,Yes,No,7,Quarterly
141,46-55,Male,Bike,Sports & Outdoors,201.85,Michigan,N/A,N/A,Summer,5,Yes,PayPal,Standard,Yes,No,4,Quarterly
142,56-65,Other,Hair Care,Beauty & Personal Care,69.38,California,N/A,N/A,Fall,5,Yes,Cash,Free Shipping,Yes,Yes,4,Quarterly
143,26-35,Other,Fitness Equipment,Sports & Outdoors,136.22,New Jersey,N/A,N/A,Fall,4,No,Bank Transfer,Next Day Delivery,No,No,5,Weekly
144,46-55,Male,Kitchenware,Home & Garden,245.25,Texas,N/A,N/A,Winter,5,No,Credit Card,Express,No,No,2,Annually
145,18-25,Male,Blouse,Clothing,100.89,Pennsylvania,S,White,Summer,5,Yes,Credit Card,Express,No,No,2,Annually
146,26-35,Female,Sunglasses,Accessories,58.14,Florida,N/A,Brown,Spring,4,No,Debit Card,Express,No,Yes,6,Bi-Weekly
147,56-65,Female,Kitchenware,Home & Garden,10.0,Texas,N/A,N/A,Spring,5,No,Cash,Standard,No,No,9,Monthly
148,26-35,Male,Fitness Equipment,Sports & Outdoors,83.3,Florida,N/A,N/A,Fall,5,No,Credit Card,Express,No,No,5,Quarterly
149,56-65,Female,Camera,Electronics,354.2,Texas,N/A,N/A,Winter,5,Yes,PayPal,Next Day Delivery,No,Yes,2,Annually
150,56-65,Female,Tablet,Electronics,418.01,North Carolina,N/A,N/A,Summer,5,No,Bank Transfer,Standard,No,No,5,Annually
151,36-45,Female,Novel,Books & Media,34.96,California,N/A,N/A,Winter,5,No,PayPal,Free Shipping,No,No,6,Weekly
152,46-55,Female,Novel,Books & Media,17.43,Texas,N/A,N/A,Fall,4,Yes,Bank Transfer,Express,No,No,8,Weekly
153,26-35,Male,Garden Tools,Home & Garden,314.5,New Jersey,N/A,N/A,Fall,5,No,PayPal,Next Day Delivery,Yes,Yes,9,Quarterly
154,56-65,Male,Skincare,Beauty & Personal Care,22.94,Virginia,N/A,N/A,Spring,4,No,Bank Transfer,Express,No,No,6,Quarterly
155,46-55,Male,Jewelry,Accessories,122.51,Pennsylvania,N/A,Brown,Winter,4,Yes,PayPal,Free Shipping,No,No,10,Weekly
156,36-45,Male,Hair Care,Beauty & Personal Care,56.56,New Jersey,N/A,N/A,Fall,5,Yes,Debit Card,Express,Yes,No,5,Quarterly
157,18-25,Female,Smartphone,Electronics,160.82,Texas,N/A,N/A,Winter,5,No,Credit Card,Next Day Delivery,No,No,1,Bi-Weekly
158,56-65,Male,Sweater,Clothing,88.34,North Carolina,XL,Blue,Spring,5,No,PayPal,Next Day Delivery,Yes,No,4,Quarterly
159,65+,Other,Dress,Clothing,50.48,Michigan,M,Blue,Spring,5,No,Bank Transfer,Express,No,No,4,Bi-Weekly
160,65+,Male,Magazine,Books & Media,10.0,Texas,N/A,N/A,Fall,5,No,Bank Transfer,Next Day Delivery,Yes,No,5,Weekly
161,36-45,Female,Jewelry,Accessories,130.96,North Carolina,N/A,Brown,Spring,4,Yes,Bank Transfer,Next Day Delivery,No,No,2,Weekly
162,26-35,Female,Decor,Home & Garden,197.4,Pennsylvania,N/A,N/A,Fall,4,No,Credit Card,Express,No,No,5,Bi-Weekly
163,56-65,Female,Skincare,Beauty & Personal Care,48.8,Florida,N/A,N/A,Spring,4,No,Credit Card,Express,No,No,6,Quarterly
164,46-55,Male,DVD,Books & Media,30.77,Florida,N/A,N/A,Fall,5,No,Debit Card,Next Day Delivery,Yes,Yes,7,Annually
165,56-65,Female,Smartphone,Electronics,502.72,Florida,N/A,N/A,Summer,5,No,Bank Transfer,Standard,No,Yes,7,Weekly
166,36-45,Male,Music Album,Books & Media,19.67,Georgia,N/A,N/A,Winter,4,No,PayPal,Next Day Delivery,No,No,2,Bi-Weekly
167,56-65,Male,Headphones,Electronics,471.0,Ohio,N/A,N/A,Spring,3,Yes,Debit Card,Free Shipping,No,No,5,Annually
168,65+,Female,Furniture,Home & Garden,132.31,New York,N/A,N/A,Winter,5,Yes,Bank Transfer,Standard,No,No,4,Weekly
169,26-35,Female,Kitchenware,Home & Garden,25.0,Florida,N/A,N/A,Fall,4,No,Debit Card,Next Day Delivery,No,No,8,Weekly
170,18-25,Male,Music Album,Books & Media,19.71,Florida,N/A,N/A,Summer,5,Yes,PayPal,Express,No,No,5,Annually
171,56-65,Female,Fitness Equipment,Sports & Outdoors,105.04,Ohio,N/A,N/A,Spring,5,No,PayPal,Standard,Yes,No,7,Quarterly
172,18-25,Female,Bike,Sports & Outdoors,60.26,Michigan,N/A,N/A,Winter,5,No,PayPal,Next Day Delivery,Yes,No,4,Weekly
173,46-55,Female,Dress,Clothing,84.69,Florida,XL,Red,Fall,5,No,Credit Card,Free Shipping,No,No,5,Weekly
174,26-35,Female,Fragrance,Beauty & Personal Care,39.95,North Carolina,N/A,N/A,Spring,5,No,PayPal,Next Day Delivery,No,Yes,8,Monthly
175,26-35,Female,Camping Gear,Sports & Outdoors,181.29,Texas,N/A,N/A,Spring,5,No,Bank Transfer,Express,No,No,7,Monthly
176,36-45,Male,Boots,Footwear,146.84,Texas,S,Blue,Summer,5,Yes,Cash,Express,Yes,No,5,Weekly
177,26-35,Female,Music Album,Books & Media,30.21,Michigan,N/A,N/A,Winter,3,No,Bank Transfer,Next Day Delivery,No,No,5,Monthly
178,26-35,Female,Novel,Books & Media,25.06,Georgia,N/A,N/A,Winter,5,No,Debit Card,Next Day Delivery,No,No,6,Annually
179,18-25,Male,Fitness Equipment,Sports & Outdoors,189.03,Illinois,N/A,N/A,Winter,4,No,PayPal,Standard,No,No,6,Weekly
180,36-45,Male,Furniture,Home & Garden,140.55,New Jersey,N/A,N/A,Spring,5,No,Bank Transfer,Free Shipping,No,No,8,Quarterly
181,56-65,Male,Board Game,Toys & Games,28.03,Georgia,N/A,N/A,Summer,3,Yes,Debit Card,Free Shipping,No,No,7,Annually
182,26-35,Male,Jacket,Clothing,81.03,Texas,M,Gray,Spring,5,No,Bank Transfer,Express,No,No,8,Weekly
183,26-35,Male,Music Album,Books & Media,26.41,North Carolina,N/A,N/A,Summer,5,No,Debit Card,Next Day Delivery,No,Yes,5,Monthly
184,46-55,Male,Hair Care,Beauty & Personal Care,67.01,New Jersey,N/A,N/A,Spring,5,No,Debit Card,Standard,No,No,4,Monthly
185,18-25,Male,Video Game,Toys & Games,40.51,Illinois,N/A,N/A,Fall,3,Yes,Bank Transfer,Express,Yes,Yes,6,Monthly
186,18-25,Female,Sandals,Footwear,211.91,Illinois,L,White,Spring,5,No,Debit Card,Free Shipping,No,No,4,Monthly
187,26-35,Male,Board Game,Toys & Games,36.05,New Jersey,N/A,N/A,Winter,5,Yes,Bank Transfer,Next Day Delivery,No,No,4,Weekly
188,36-45,Female,Kitchenware,Home & Garden,242.95,New York,N/A,N/A,Fall,5,No,PayPal,Express,No,No,9,Bi-Weekly
189,26-35,Male,Sneakers,Footwear,71.73,Illinois,XS,Green,Spring,4,No,Debit Card,Express,No,No,7,Annually
190,46-55,Male,Boots,Footwear,121.51,Florida,XL,Brown,Summer,4,Yes,PayPal,Standard,Yes,No,6,Quarterly
191,36-45,Female,Jewelry,Accessories,77.63,Michigan,N/A,Blue,Winter,4,No,Cash,Express,No,No,5,Monthly
192,46-55,Male,Sunglasses,Accessories,59.91,New Jersey,N/A,Green,Winter,5,No,PayPal,Next Day Delivery,No,No,6,Quarterly
193,56-65,Female,Video Game,Toys & Games,46.58,Florida,N/A,N/A,Summer,5,No,Bank Transfer,Express,No,No,2,Monthly
194,18-25,Male,DVD,Books & Media,40.31,North Carolina,N/A,N/A,Spring,4,Yes,Bank Transfer,Standard,Yes,No,5,Monthly
195,18-25,Male,Sandals,Footwear,113.44,Georgia,XL,White,Winter,5,Yes,Credit Card,Express,No,No,5,Quarterly
196,36-45,Female,Jacket,Clothing,77.31,California,L,Green,Fall,4,No,Cash,Free Shipping,No,No,4,Weekly
